Profil	Raport	ROE	ROA	ROE k/k [%]	ROE r/r [%]	ROA k/k [%]	ROA r/r [%]	Marża zysku operacyjnego k/k [%]	Marża zysku operacyjnego r/r [%]	Cena / Zysk operacyjny	Cena / Zysk	Cena / Wartość księgowa	Rynek	Zysk operacyjny na akcję 3 lata (średnio)	Przychody dynamika 3 lata (średnio)
PNT (POINTPACK)	2025/Q3	19.80%	11.92%	+2.11%	+44.63%	+10.68%	+141.30%	+17.15%	+114.44%	1.93	2.75	0.55	NC	12.00%	20.00%
FHD (FHDOM)	2025/Q3	21.13%	9.85%	+137.68%	+166.61%	+146.87%	+185.88%	+89.07%	+155.13%	11.81	11.82	2.50	NC	9.00%	13.00%
MAD (MADKOM)	2025/Q3	21.39%	11.05%	+108.89%	+2 677.92%	+130.21%	+2 530.95%	+74.34%	+207.91%	4.53	5.25	1.12	NC	26.00%	8.00%
7FT (7FIT)	2025/Q3	25.27%	13.43%	+7.21%	+45.23%	+13.14%	+55.08%	+4.57%	+39.65%	7.08	9.51	2.40	NC	40.00%	19.00%
KBJ	2025/Q3	24.51%	15.16%	+38.40%	+37.39%	+37.82%	+55.81%	+29.21%	+88.00%	5.19	5.17	1.27	NC	334.00%	16.00%
GEN (GENOMED)	2025/Q3	28.02%	24.69%	+30.51%	+168.39%	+31.47%	+170.72%	+43.98%	+161.52%	10.05	11.31	3.17	NC	73.00%	11.00%
TOS (TAMEX)	2025/Q3	20.58%	7.69%	+14.59%	+3 710.53%	+5.34%	+3 761.90%	+28.45%	+468.52%	8.07	12.89	2.65	NC	23.00%	11.00%
BLT (BALTICON)	2025/Q3	15.01%	6.38%	+40.15%	+201.41%	+47.34%	+206.73%	+28.13%	+33.44%	4.74	5.93	0.89	NC	7.00%	12.00%
MND (MINERAL)	2025/Q3	33.22%	19.65%	+11.81%	+182.48%	+12.61%	+238.79%	+5.42%	+65.32%	3.80	4.60	1.53	NC	43.00%	18.00%
MLB (MAKOLAB)	2025/Q3	21.64%	15.74%	+35.59%	+253.59%	+38.68%	+253.71%	+29.73%	+151.48%	4.79	6.71	1.45	NC	36.00%	8.00%
QNT (QUANTUM)	2025/Q3	32.04%	22.69%	+2.66%	+98.14%	+28.12%	+142.93%	+16.55%	+128.11%	5.96	6.55	2.10	GPW	83.00%	11.00%
TRI (TRITON)	2025/Q3	2.76%	1.56%	+144.95%	+138.82%	+155.52%	+143.21%	+144.57%	+129.23%	4.84	8.76	0.24	GPW	26.00%	17.00%
ANR (ANSWEAR)	2025/Q3	11.45%	2.84%	+43.66%	+255.99%	+33.33%	+267.06%	+22.84%	+745.45%	7.96	17.87	2.05	GPW	8.00%	25.00%
